ym,Nivel General,Alimentos y bebidas no alcohólicas,Bebidas alcohólicas y tabaco,Prendas de vestir y calzado,"Vivienda, agua, electricidad, gas y otros combustibles",Equipamiento y mantenimiento del hogar,Salud,Transporte,Información y comunicación,Recreación y cultura,Educación,Restaurantes y hoteles,Seguros y servicios financieros,"Cuidado personal, protección social y otros productos",Bienes,Servicios,Estacionales ,Regulados,Resto IPCBA
2008-02,2.61922042865798,2.33578542234909,,2.13625110438995,2.88251992885439,2.98692353045973,3.25041977566337,2.91527946458524,,2.75956453900034,2.49183913305716,,,3.05911825611529,,,,,
2008-03,2.72569016475908,2.51102409110926,,2.24098791707819,2.89897447865459,3.05493115040074,3.29597942784983,2.94239541028655,,2.75637843475557,2.75882707109706,,,3.09200576029158,,,,,
2008-04,2.80716548110474,2.60691858484747,,2.31859084046896,2.94952761358292,3.11301723427609,3.33008692702767,3.04791637727925,,2.77848203295366,2.86979438555098,,,3.13766135432454,,,,,
2008-05,2.81414444246503,2.55495545181928,,2.3793707524953,3.00166672921488,3.1398955774358,3.38137265571844,3.11539093983833,,2.8151222317685,2.89036534984922,,,3.19240937598271,,,,,
2008-06,2.88231104179805,2.60229423108852,,2.42834742267723,3.16779820792052,3.16352687242857,3.43838446091351,3.18601851933942,,3.00111106705687,2.89978163632377,,,3.22819871876278,,,,,
2008-07,2.92272409711692,2.63028374068216,,2.42454867817559,3.21359340073794,3.25083638980642,3.48942122975627,3.23310357234015,,3.09968116712941,2.91962827089321,,,3.29378027120843,,,,,
2008-08,2.94658240688348,2.63308269164152,,2.44951185632926,3.30042584426189,3.27536964262334,3.49863274413276,3.26526434514869,,3.14906578292332,2.9619291270558,,,3.34756101333201,,,,,
2008-09,2.97839348657222,2.63137898236191,,2.58721634451393,3.317276889238,3.35762819618595,3.57730405610501,3.2755642004926,,3.20601739629856,3.0568163215301,,,3.34465917472822,,,,,
2008-10,2.99575973925944,2.6454954306787,,2.60851644761244,3.18861420465571,3.38919672003125,3.60917091665073,3.30478215748858,,3.27312471695401,3.15474328477974,,,3.42707139107585,,,,,
2008-11,3.01491130764349,2.65510921875651,,2.64365483425267,3.25443240385651,3.40885940059775,3.62186786889941,3.31255959927888,,3.27690821574467,3.2465907104787,,,3.49420059077686,,,,,
2008-12,3.02838232608311,2.64975470387773,,2.62968088126447,3.31787163200186,3.45467885806464,3.67091295895806,3.3260124715648,,3.34301987882362,3.23152465211942,,,3.51702838779334,,,,,
2009-01,3.06343943431152,2.67737913291145,,2.58884437787178,3.35157372195408,3.48678855660443,3.75655514667468,3.36174666357428,,3.50232509106206,3.25977351154307,,,3.54991589196962,,,,,
2009-02,3.06311483145755,2.66825211891353,,2.54773653558611,3.36961425245792,3.49346304450315,3.7717416974035,3.37772194941382,,3.48360672862404,3.30366789310904,,,3.64006634459403,,,,,
2009-03,3.13468976075723,2.72155388066141,,2.73821643845436,3.59680598825346,3.54577659830393,3.80784087536544,3.41219493464649,,3.40096714977535,3.54414536307444,,,3.67624259918794,,,,,
2009-04,3.19181986305538,2.78045354432802,,2.79601162265797,3.64973809423723,3.62045870614366,3.9126529713791,3.45108214359799,,3.4372090855596,3.57268395438961,,,3.7509165792588,,,,,
2009-05,3.21941110564256,2.78690330088656,,2.84810869010912,3.73696703293709,3.76332882548924,3.94153231374866,3.46474521701338,,3.41510548736152,3.57369801600995,,,3.78728628975963,,,,,
2009-06,3.23645275547581,2.78264402768753,,2.90142678257865,3.77820253123157,3.807163975743,3.9701626962702,3.48282251414758,,3.44836045041629,3.60325066894546,,,3.79579834966408,,,,,
2009-07,3.26891304087249,2.80795627984177,,2.86099728752542,3.8101203928922,3.8703010234336,4.00725771362421,3.53411158973766,,3.57202112141638,3.6061479878607,,,3.80450386547545,,,,,
2009-08,3.32961377456428,2.87196707134722,,2.91879247172903,3.86939642169051,3.92243418566955,4.09414470058089,3.59044549243496,,3.58715511657903,3.63758389809112,,,3.92618763092771,,,,,
2009-09,3.38090102549103,2.90421585413989,,3.03275480677841,3.95186741827947,4.00180647419487,4.17779520951341,3.62302666750243,,3.61383873962897,3.67843609479608,,,3.9921560951872,,,,,
2009-10,3.43705731922729,2.96773987156545,,3.07426965740355,3.98398352752805,4.07324153386766,4.19422655948229,3.71467435995027,,3.60686913659353,3.69755839963671,,,4.04477610186925,,,,,
2009-11,3.47649656598425,2.97650180500346,,3.144546430684,4.07597040833881,4.09975909389771,4.29654905701581,3.75776559149112,,3.68871218938103,3.71465258123666,,,4.11422677245329,,,,,
2009-12,3.58783534489486,3.1611108748015,,3.16855992271226,4.12156735356828,4.14521776823494,4.3408639099622,3.80863426482226,,3.82312596220721,3.7310224331078,,,4.1573674396963,,,,,
2010-01,3.66736304411672,3.29302665045152,,3.12433168315738,4.21989815719358,4.14990794892053,4.36600885461156,3.84436845683174,,3.98024072777737,3.74232197687725,,,4.1703289854599,,,,,
2010-02,3.82706764826838,3.63766269901319,,3.09556976050206,4.25062653332648,4.19807249673021,4.39862259470132,3.85466831217565,,4.00234432597546,3.74999987200266,,,4.20128193056699,,,,,
