ym,Nivel general,Alimentos y bebidas no alcohólicas,Bebidas alcohólicas y tabaco,Prendas de vestir y calzado,"Vivienda, agua, electricidad y otros combustibles",Equipamiento y manteni-miento del hogar,Salud,Transporte,Comunicaciones,Recreación y cultura,Educación,Restaurantes y hoteles,Otros bienes y servicios,Estacional,Núcleo,Regulados,Bienes,Servicios
2018-03,26.8995782139499,24.847431161935,31.5660533797559,24.1503123776736,38.633250448646,25.5008866317685,24.7453043820919,24.6277267646198,33.3388894111625,26.9311493001421,36.5650379916147,28.42643801153,29.2982308033633,25.0677508957884,25.6106577502972,33.9504375482619,24.0397842295422,34.7578059905025
2018-04,27.6363663701962,25.1350152903604,31.9710804350781,25.1271766405885,41.7277375121467,25.8189855979325,25.1861904136168,25.6173810365736,33.683992306118,27.4487320534569,36.864567998332,29.0767889171998,29.7921279743118,25.2860321591749,26.1561866817935,35.7356630903566,24.5665391274335,36.0482847528455
2018-05,28.2099245648976,25.9562421444153,32.4878357329339,25.6174290659861,41.4225358270852,26.3888758613924,25.7426527883628,26.1054621526585,35.0068903635638,28.1396515032582,37.193910403681,29.7746133928965,30.3779354904907,25.9255604117847,26.8506300525101,35.8640820714277,25.2355905872121,36.4377210073791
2018-06,29.2640380716671,27.300280658667,32.782254750421,26.1079630838165,42.5221470817792,27.4504856893845,26.8506402603692,27.6552803604901,35.1396523764349,29.0824952505382,37.6477213606319,30.5657089587195,31.3432475023265,26.7959768657121,27.9445126350283,36.9193364734757,26.3250344322359,37.3804172581691
2018-07,30.1716952789053,28.3899245235691,33.635802026097,26.0691033280986,42.9482617454334,28.6049383795467,27.6045203177712,29.0930281988627,35.3502088813589,30.5556808257398,38.3158670204561,31.4392139404628,32.5773799975804,27.807658739457,28.8368057268893,37.8731779803496,27.3050470687904,38.1594567639149
2018-08,31.34520492444,29.5290238068842,34.0911165314698,26.1581267643343,45.5937510815743,29.5007689305729,28.7293202290964,30.2693348819226,39.7351199067016,31.5655149013209,39.0497858379332,32.2024696639821,34.1712297738162,28.3451763505462,29.8034963611874,40.2203318143111,28.1672369397779,40.0789643012694
2018-09,33.3933903116637,31.601780271683,35.5995208625011,28.7176008404749,46.6390503733373,32.3669335798303,30.0314032751162,33.4187490321093,40.5758009169051,33.7099107866874,39.6866177553096,34.0487583770758,36.8797285965064,29.4708982347064,32.0808568554047,42.1119008232789,30.6076457072238,41.2747082335001
2018-10,35.1938307318726,33.4603910999274,36.4255257139606,30.1660519732459,50.7351894033847,33.7577980683525,31.6749844062513,35.9646105000933,40.8699620200017,34.6359498991196,40.5126666552093,35.1007517926665,39.1698856197657,31.3069503688613,33.5372384795891,45.2466238394081,32.3967521999935,43.1720052125985
2018-11,36.3036206709878,34.6009022899864,38.1139420695797,30.8633351779419,51.8160374875299,34.9569543743441,33.4657477981914,36.9258337745636,42.1114750703767,35.6075897367316,40.9810620949441,36.0039685685808,40.8929396883316,32.2516342343915,34.6435140217165,46.5061383799346,33.5970668885644,44.0948050019648
2018-12,37.2365596266341,35.1885649544613,38.6402921642005,31.212449453302,53.3701082707974,35.605783301199,35.2226477070057,37.8128696213638,45.3347130429225,36.5304338938964,41.3998416961886,36.9588599227821,42.2944227244624,32.7160196557769,35.5939724649374,47.7032811884679,34.2431031296671,45.725360571976
