ym,Nivel general,Alimentos y bebidas no alcohólicas,Bebidas alcohólicas y tabaco,Prendas de vestir y calzado,"Vivienda, agua, electricidad y otros combustibles",Equipamiento y manteni-miento del hogar,Salud,Transporte,Comunicaciones,Recreación y cultura,Educación,Restaurantes y hoteles,Otros bienes y servicios,Estacional,Núcleo,Regulados,Bienes,Servicios
1983-04,8.99074306091103e-07,8.23973568562198e-07,,2.18445830971644e-06,9.02713112337398e-07,9.95057854035501e-07,8.31288480702443e-07,1.42926689380999e-06,1.9957657939742e-06,,,,1.11789907959997e-06,,,,,
1983-05,9.80515530337843e-07,8.81608275115408e-07,,2.36258777595495e-06,1.02298476952007e-06,1.09323689563367e-06,9.23010013924741e-07,1.59151723255762e-06,2.29515546646693e-06,,,,1.23345678158732e-06,,,,,
1983-06,1.13572931364801e-06,1.05653974626183e-06,,2.63100204014997e-06,1.17916417668024e-06,1.21778497036378e-06,1.03029440657464e-06,1.78499771169578e-06,2.49110824614812e-06,,,,1.34793282021754e-06,,,,,
1983-07,1.27713949962822e-06,1.16210683439572e-06,,2.8674234930571e-06,1.36063345076005e-06,1.38611559067146e-06,1.15827409101658e-06,2.05020991954342e-06,2.85584336678648e-06,,,,1.55254747194241e-06,,,,,
1983-08,1.49738356369284e-06,1.39322490389049e-06,,3.14478489939196e-06,1.58496036190976e-06,1.6023748309485e-06,1.33658472509675e-06,2.35689965759721e-06,3.22821762060047e-06,,,,1.78294176701236e-06,,,,,
1983-09,1.81732027514048e-06,1.75887222561625e-06,,3.51541348439659e-06,1.80214433354782e-06,1.88596631934862e-06,1.52532578624011e-06,2.76874713399723e-06,3.68569584912968e-06,,,,2.18856552593833e-06,,,,,
1983-10,2.12575398881315e-06,2.02474489202753e-06,,5.24248304290394e-06,2.08651054707925e-06,2.27171708076305e-06,1.75479518163019e-06,3.04201086241429e-06,3.91925057805368e-06,,,,2.59382873041192e-06,,,,,
1983-11,2.53464721638717e-06,2.38271724026756e-06,,6.22260179549486e-06,2.60311882094899e-06,2.7879862640318e-06,2.05694644179389e-06,3.62074440152615e-06,5.11535079700696e-06,,,,3.17936916107483e-06,,,,,
1983-12,2.98326412961072e-06,2.70332839682234e-06,,7.26399491546765e-06,3.27880228826739e-06,3.38551850538013e-06,2.3946936038399e-06,4.57179977060627e-06,6.33036700948702e-06,,,,3.79717921522563e-06,,,,,
1984-01,3.35734161725252e-06,3.07578182711091e-06,,7.96295650445224e-06,3.59849709451862e-06,3.81604687022615e-06,2.70197729636803e-06,5.07977752289586e-06,6.36511805475996e-06,,,,4.19505105342546e-06,,,,,
1984-02,3.92635657385402e-06,3.77956241467019e-06,,8.85767071843567e-06,3.90738096529275e-06,4.26713976405558e-06,3.06124756187775e-06,5.66534265521815e-06,7.32926661100219e-06,,,,4.6854051086604e-06,,,,,
1984-03,4.72236401988145e-06,4.7020073411625e-06,,1.0194319529023e-05,4.32630471503017e-06,5.02172530336583e-06,3.62912636865118e-06,6.53881064426556e-06,8.39109735906857e-06,,,,5.37947242948928e-06,,,,,
